split,split_index,order_idx,Id,Title,Description,Download_link,ECR,video_path
test,0,8,7ecdbb98be15ae5231d21cd39b392524, comedy,Pov: LA breaks up with you broken heart,https://cf-st.sc-cdn.net/d/ZtxZbsz0PRXRG7bW64lVk.1034.IRZXSOY?mo=GsgBGg0aABoAMgEESAJQLmABogG1AQiKCBKiAQqfASABSlAKS2QpJSg8LzExIj4xGy00ISkzKCFBMCceIBgWIRY2EA8RJB8ZKD0nSyMhLSsYEg8ZLkEiFRQrJB4YJS8nJCEfHhkmMSo2LicqJyg2MhD0A1oEENHJAloHCK8lELeoHVoHCI1LEPvZN1oHCJlxEMevTFoICPeWARDA12FaCAjrvAEQ2rZ3WgkIyeIBEMuUiwFaCQjViAIQkrGiASILEgAqB0lSWlhTT1k%3D&uc=46,0.466327528859323,official_balanced_5000_videos/7ecdbb98be15ae5231d21cd39b392524.mp4
test,1,9,4d4b0529f4c0a43d1bbe014baa39e3c0,,,https://cf-st.sc-cdn.net/d/0NgOcRtSOJ0rnyLsRrAnN.1034.IRZXSOY?mo=GkAaDRoAGgAyAQRIAlAuYAGiAS4IiggSHAoaIAFKFgoRWCYnLyQyLTUwLCAoMTQ3TD8Q9AMiCxIAKgdJUlpYU09Z&uc=46,0.3761220896106437,official_balanced_5000_videos/4d4b0529f4c0a43d1bbe014baa39e3c0.mp4
test,2,11,eed9a5f91737b5a2254e0246d48ec441,,,https://cf-st.sc-cdn.net/d/vQmfbSK2wkqbRRdX8bboR.1034.IRZXSOY?mo=Gj0aDRoAGgAyAQRIAlAuYAGiASsIiggSGQoXIAFKEwoOZTczNTM2NDA0NT0wMjEQ9AMiCxIAKgdJUlpYU09Z&uc=46,0.0574995108589317,official_balanced_5000_videos/eed9a5f91737b5a2254e0246d48ec441.mp4
test,3,13,91daacdb90bbb8420892598bdfc2fbc1,,,https://cf-st.sc-cdn.net/a/kSvOktFRqdXzNZxtcvqSS.1034.IRZXSOY?mo=GjsaDRoAGgAyAQFIAlAuYAGiASkIiggSFwoVIAFKEQoMORsZGhkgKicoNSomEPQDIgsSACoHSVJaWFNPWQ%3D%3D&uc=46,0.1475484249657601,official_balanced_5000_videos/91daacdb90bbb8420892598bdfc2fbc1.mp4
test,4,16,4c86a475dcbe48a0e2431e6975f9dd51,,,https://cf-st.sc-cdn.net/d/QpntWzmZ9fZ2hUqnGpitv.1034.IRZXSOY?mo=GkMaDRoAGgAyAQRIAlAuYAGiATEIiggSHwodIAFKGQoUmwFFO0ZUPzc7NTg7Ni09KTdAPDgQ9AMiCxIAKgdJUlpYU09Z&uc=46,0.2248405400117394,official_balanced_5000_videos/4c86a475dcbe48a0e2431e6975f9dd51.mp4
test,5,17,0b1533c551b0d51a9024153e9a1dc1ec,,,https://cf-st.sc-cdn.net/d/j1iJJifRpyJWtiEaFg2fC.1034.IRZXSOY?mo=GocBGg0aABoAMgEESAJQLmABogF1CIoIEmMKYSABSjIKLWQoLSIuJS0oJ0YkKkIeIiUaLx8aGBgbGhsdNxYaLCQeISogHi0aIyUbFRYoIRD0A1oEENnMAVoHCK8lEIKDHFoHCKZDEPv-L1oHCIRpEIfMQVoICOKOARD4yFYiCxIAKgdJUlpYU09Z&uc=46,0.6834983369203679,official_balanced_5000_videos/0b1533c551b0d51a9024153e9a1dc1ec.mp4
test,6,31,48dd2cd0d28b4b92dd8579d7e6d5a0a6,,,https://cf-st.sc-cdn.net/d/1mwl4LPrRA5JJwvgneYVo.1034.IRZXSOY?mo=Gj8aDRoAGgAyAQRIAlAuYAGiAS0IiggSGwoZIAFKFQoQZklNTUgxUkZCSDguNTNARxD0AyILEgAqB0lSWlhTT1k%3D&uc=46,0.0914732928976716,official_balanced_5000_videos/48dd2cd0d28b4b92dd8579d7e6d5a0a6.mp4
test,7,37,02aff65a658fe18d6114f8975c4bc09e,,,https://cf-st.sc-cdn.net/d/E1rHzVjhlxmV3hPMlH6kr.1034.IRZXSOY?mo=Gj8aDRoAGgAyAQRIA1AuYAGiAS0IiggSGwoZIAFKEAoLUiEeJS0sNSs7NjEQ9ANaAxCKPCILEgAqB0lSWlhTT1k%3D&uc=46,0.8099941303071806,official_balanced_5000_videos/02aff65a658fe18d6114f8975c4bc09e.mp4
test,8,47,75e33b69e7c7280a529698153bd082a4,Wtf skull and crossbones,WHY ARENT YOU SUBSCRIBED!?,https://cf-st.sc-cdn.net/d/0uYgmY1YHg9uoDgf8x2o6.1034.IRZXSOY?mo=GkcaDRoAGgAyAQRIAlAuYAGiATUIiggSIwohIAFKHQoYQhMXDxQTGxogMRcVDw4ZFBUSEi4UIxoaEPQDIgsSACoHSVJaWFNPWQ%3D%3D&uc=46,0.9436274701623948,official_balanced_5000_videos/75e33b69e7c7280a529698153bd082a4.mp4
test,9,56,761a1bcb1d8d3c6fbc50def8359f45d9,,Someone forgot their hair?,https://cf-st.sc-cdn.net/d/9KTQ2G9hcViOGJJ4F41SW.1034.IRZXSOY?mo=GkAaDRoAGgAyAQRIAlAuYAGiAS4IiggSHAoaIAFKFgoRYihBR1NNJ0BYWkotNCsvLDYQ9AMiCxIAKgdJUlpYU09Z&uc=46,0.2756955585991,official_balanced_5000_videos/761a1bcb1d8d3c6fbc50def8359f45d9.mp4
test,10,70,713507f2f1cbd157515a78138d34854d,What happens in Florida stays in Florida  florida  beach  summer,"you see this goin down at the beach, what ru doin?? face with tears of joy",https://cf-st.sc-cdn.net/d/0sxMzN4EY0Q2W9MFbHPdf.1034.IRZXSOY?mo=Gk4aDRoAGgAyAQRIAlAuYAGiATwIiggSKgooIAFKJAofVBwcHhoXIBcXOhcUHB0cGBwaFTcVFhsYGBUZFxc2FRD0AyILEgAqB0lSWlhTT1k%3D&uc=46,0.3759342594404226,official_balanced_5000_videos/713507f2f1cbd157515a78138d34854d.mp4
test,11,72,9bf1f55f15c7d79985bcc3648b2c3aa0,,EASY ,https://cf-st.sc-cdn.net/d/M0296UUEhHzIn7ZkmYVyT.1034.IRZXSOY?mo=Gj8aDRoAGgAyAQRIA1AuYAGiAS0IiggSGwoZIAFKFQoQMxQVFRQUFRMTDxIWFxMZGRD0AyILEgAqB0lSWlhTT1k%3D&uc=46,0.0584386617100371,official_balanced_5000_videos/9bf1f55f15c7d79985bcc3648b2c3aa0.mp4
test,12,75,321045be4c03e584f0ac84ecb06a4148, spotlightoftheday ,The kid at the end skullloudly crying face,https://cf-st.sc-cdn.net/d/GRxK6B7heePs13YcvSNgV.1034.IRZXSOY?mo=GoYBGg0aABoAMgEESAJQLmABogF0CIoIEmIKYCABSjEKLGIlMjIrMDMwJjMdJyklKCMiHSgyKywqJy44LSojMSgeKyMtISouNCQrKS8qEPQDWgQQocYBWgcIxiUQ_O4dWgcI0ksQ_PY0WgcI9nEQ-5lQWggI65cBELvQaCILEgAqB0lSWlhTT1k%3D&uc=46,0.4033026804930542,official_balanced_5000_videos/321045be4c03e584f0ac84ecb06a4148.mp4
